split,year,month,kind,created_utc,actual_time_loss,fixed_2020_loss
val,2021,1,comments,1609478510,2.7914116382598877,2.7947640419006348
val,2021,1,comments,1609623501,2.722972869873047,2.7207233905792236
val,2021,1,comments,1609517896,2.374500274658203,2.3734443187713623
val,2021,1,comments,1609900236,2.212798833847046,2.211430549621582
val,2021,1,comments,1609773115,0.5002906322479248,0.49668121337890625
val,2021,1,comments,1609860503,2.684079647064209,2.684140682220459
val,2021,1,comments,1610216713,2.700112819671631,2.6950953006744385
val,2021,1,comments,1610136202,2.1988930702209473,2.1989898681640625
val,2021,1,comments,1610239552,2.298926830291748,2.300213575363159
val,2021,1,comments,1610311203,2.2889633178710938,2.2903125286102295
val,2021,1,comments,1610118514,2.7151055335998535,2.7153286933898926
val,2021,1,comments,1610271530,2.4782614707946777,2.4755005836486816
val,2021,1,submissions,1609485160,1.6790821552276611,1.6751677989959717
val,2021,1,submissions,1609824854,1.9640308618545532,1.9597649574279785
val,2021,1,submissions,1610057931,2.890212059020996,2.898118495941162
val,2021,1,submissions,1610503093,2.2570583820343018,2.2570786476135254
val,2021,1,submissions,1610782927,2.7011237144470215,2.7034928798675537
val,2021,1,submissions,1610376074,1.6340415477752686,1.6353387832641602
val,2021,1,submissions,1610249982,2.0279808044433594,2.0265727043151855
val,2021,1,submissions,1609767265,2.2308905124664307,2.231017589569092
val,2021,1,submissions,1611871213,2.1325883865356445,2.123067617416382
val,2021,1,submissions,1611929556,0.4724327325820923,0.46527430415153503
val,2021,1,submissions,1611588588,1.7785066366195679,1.7793636322021484
val,2021,1,submissions,1612070850,1.6561479568481445,1.6550912857055664
val,2021,2,comments,1612352799,2.6623644828796387,2.659090042114258
val,2021,2,comments,1612268506,2.8441309928894043,2.8401575088500977
val,2021,2,comments,1612198512,2.395662784576416,2.391775369644165
val,2021,2,comments,1612638086,2.490939140319824,2.488455295562744
val,2021,2,comments,1612709153,2.825321674346924,2.8272647857666016
val,2021,2,comments,1612934500,1.6359153985977173,1.6371487379074097
val,2021,2,comments,1613179218,2.498394012451172,2.5007123947143555
val,2021,2,comments,1613161591,2.536766767501831,2.537330150604248
val,2021,2,comments,1613271027,2.885324001312256,2.8842692375183105
val,2021,2,comments,1614375047,2.3149161338806152,2.317232131958008
val,2021,2,comments,1614489043,2.568948268890381,2.569211483001709
val,2021,2,comments,1614546681,2.53251051902771,2.532374620437622
val,2021,2,submissions,1613023539,2.092170238494873,2.0897703170776367
val,2021,2,submissions,1613031425,2.207787275314331,2.210113048553467
val,2021,2,submissions,1612531481,2.537635326385498,2.5406064987182617
val,2021,2,submissions,1613511608,1.7650868892669678,1.767307996749878
val,2021,2,submissions,1613140551,2.4767823219299316,2.480842113494873
val,2021,2,submissions,1613559457,2.181706428527832,2.185467481613159
val,2021,2,submissions,1614002321,2.950688123703003,2.9511008262634277
val,2021,2,submissions,1613838736,2.4723939895629883,2.4699788093566895
val,2021,2,submissions,1613290867,1.778867483139038,1.7822626829147339
val,2021,2,submissions,1614302426,1.9631764888763428,1.9673223495483398
val,2021,2,submissions,1614365766,0.4614141881465912,0.4587438702583313
val,2021,2,submissions,1614378189,1.2681937217712402,1.2731585502624512
val,2021,3,comments,1614751418,0.45547258853912354,0.44635748863220215
val,2021,3,comments,1614875454,1.4729496240615845,1.472124695777893
val,2021,3,comments,1614843606,2.684150218963623,2.689108371734619
val,2021,3,comments,1615403811,2.6522653102874756,2.651435375213623
val,2021,3,comments,1615856473,1.9096641540527344,1.9070744514465332
val,2021,3,comments,1616081109,2.4005990028381348,2.4029927253723145
val,2021,3,comments,1616196747,2.3383450508117676,2.3369007110595703
val,2021,3,comments,1616282549,2.4885215759277344,2.4916300773620605
val,2021,3,comments,1616579431,2.6316146850585938,2.6340956687927246
val,2021,3,comments,1617139257,2.431290626525879,2.433335065841675
val,2021,3,comments,1617064815,2.598606824874878,2.601567506790161
val,2021,3,comments,1617068767,0.791692852973938,0.798814058303833
val,2021,3,submissions,1616552252,1.8935165405273438,1.8957666158676147
val,2021,3,submissions,1616326306,1.6620560884475708,1.6655381917953491
val,2021,3,submissions,1615568587,2.6367809772491455,2.636953353881836
val,2021,3,submissions,1615995611,1.9239293336868286,1.9259727001190186
val,2021,3,submissions,1616728452,2.2167956829071045,2.227231502532959
val,2021,3,submissions,1615057619,1.7310007810592651,1.7342146635055542
val,2021,3,submissions,1616751529,1.9719561338424683,1.9710335731506348
val,2021,3,submissions,1614760718,2.022836685180664,2.0216732025146484
val,2021,3,submissions,1614909431,3.3113651275634766,3.31343412399292
val,2021,3,submissions,1615714635,3.1930038928985596,3.1932482719421387
val,2021,3,submissions,1615402756,2.110785961151123,2.1032187938690186
val,2021,3,submissions,1616823335,2.2261343002319336,2.2300093173980713
val,2021,4,comments,1617240358,2.1195080280303955,2.1170618534088135
val,2021,4,comments,1617399261,2.5418105125427246,2.54357647895813
val,2021,4,comments,1617299757,2.272304058074951,2.274143695831299
val,2021,4,comments,1617717054,2.5807175636291504,2.580706834793091
val,2021,4,comments,1617882402,2.4587042331695557,2.458524703979492
val,2021,4,comments,1618227564,0.4321807622909546,0.44002360105514526
val,2021,4,comments,1618932229,2.816387176513672,2.818506956100464
val,2021,4,comments,1618671757,2.639132499694824,2.6371755599975586
val,2021,4,comments,1618672702,2.9953742027282715,2.998070478439331
val,2021,4,comments,1618964225,2.4959516525268555,2.495412588119507
val,2021,4,comments,1619107736,2.534653902053833,2.534757614135742
val,2021,4,comments,1619385522,0.4279460310935974,0.42718082666397095
val,2021,4,submissions,1617755195,1.8310546875,1.8354402780532837
val,2021,4,submissions,1617562039,1.801133155822754,1.8008060455322266
val,2021,4,submissions,1619109673,2.628143548965454,2.6285619735717773
val,2021,4,submissions,1617978085,3.115241527557373,3.117356300354004
val,2021,4,submissions,1617319697,2.4030063152313232,2.398725748062134
val,2021,4,submissions,1618342426,2.55684757232666,2.558248519897461
val,2021,4,submissions,1619444465,1.8957104682922363,1.8971259593963623
val,2021,4,submissions,1618824814,2.6141393184661865,2.6159720420837402
val,2021,4,submissions,1619100492,2.2589194774627686,2.261507511138916
val,2021,4,submissions,1617474761,1.9926121234893799,1.9917895793914795
val,2021,4,submissions,1617348742,2.7624449729919434,2.7666521072387695
val,2021,4,submissions,1619684666,3.1243457794189453,3.127037525177002
val,2021,5,comments,1619843518,3.398045539855957,3.4016189575195312
val,2021,5,comments,1620066666,2.7465012073516846,2.7475476264953613
val,2021,5,comments,1620297352,1.8921644687652588,1.8945512771606445
val,2021,5,comments,1620534613,0.9065302610397339,0.9187260866165161
val,2021,5,comments,1621112273,2.3932418823242188,2.395468235015869
val,2021,5,comments,1621120583,2.713944673538208,2.719942092895508
val,2021,5,comments,1620934459,2.7655341625213623,2.7681970596313477
val,2021,5,comments,1621571102,2.6001672744750977,2.5974063873291016
val,2021,5,comments,1621687459,2.8622403144836426,2.8626389503479004
val,2021,5,comments,1622066998,2.951591730117798,2.947512626647949
val,2021,5,comments,1622023607,2.5937657356262207,2.594435214996338
val,2021,5,comments,1622427246,0.7683659791946411,0.765571117401123
val,2021,5,submissions,1621516182,2.118758201599121,2.12766170501709
val,2021,5,submissions,1622145232,2.4855353832244873,2.4935903549194336
val,2021,5,submissions,1620353283,0.4212157726287842,0.42372414469718933
val,2021,5,submissions,1620064489,2.0067646503448486,2.0088107585906982
val,2021,5,submissions,1620870478,2.335883140563965,2.343064308166504
val,2021,5,submissions,1620295518,1.3450288772583008,1.347629427909851
val,2021,5,submissions,1620389951,2.0974550247192383,2.0986814498901367
val,2021,5,submissions,1621144897,2.7812700271606445,2.78157901763916
val,2021,5,submissions,1620786841,2.0790152549743652,2.0859925746917725
val,2021,5,submissions,1620807674,2.391667127609253,2.397087574005127
val,2021,5,submissions,1621105955,1.9640251398086548,1.9699503183364868
val,2021,5,submissions,1620740286,3.3594276905059814,3.3612306118011475
val,2021,6,comments,1622756765,1.2814280986785889,1.270733118057251
val,2021,6,comments,1622700625,2.6331377029418945,2.638023853302002
val,2021,6,comments,1622925049,2.506178855895996,2.5094408988952637
val,2021,6,comments,1622901701,2.6877079010009766,2.6906790733337402
val,2021,6,comments,1623072563,2.7387537956237793,2.7409238815307617
val,2021,6,comments,1623771820,2.6013236045837402,2.601013660430908
val,2021,6,comments,1623690284,1.1776556968688965,1.1687393188476562
val,2021,6,comments,1623988090,2.614130973815918,2.6133899688720703
val,2021,6,comments,1623966223,1.9884496927261353,1.991563320159912
val,2021,6,comments,1624777966,2.3698058128356934,2.3719191551208496
val,2021,6,comments,1624688495,2.2688441276550293,2.2699179649353027
val,2021,6,comments,1624550191,1.9800522327423096,1.9790518283843994
val,2021,6,submissions,1623697124,1.2561736106872559,1.2255964279174805
val,2021,6,submissions,1622742187,2.4155969619750977,2.4167325496673584
val,2021,6,submissions,1623210333,1.7844619750976562,1.7841449975967407
val,2021,6,submissions,1623506715,2.474587917327881,2.478437900543213
val,2021,6,submissions,1624949471,1.8311748504638672,1.8276591300964355
val,2021,6,submissions,1622978028,2.2307851314544678,2.2404263019561768
val,2021,6,submissions,1622956714,2.6316006183624268,2.6319055557250977
val,2021,6,submissions,1622737446,2.7581913471221924,2.7667901515960693
val,2021,6,submissions,1624726983,1.937045931816101,1.936438798904419
val,2021,6,submissions,1624978954,1.9613032341003418,1.9590344429016113
val,2021,6,submissions,1622874249,4.131038188934326,4.135932445526123
val,2021,6,submissions,1624424751,2.0009095668792725,2.002274513244629
val,2021,7,comments,1625198142,2.6838107109069824,2.6869184970855713
val,2021,7,comments,1625253164,2.5423765182495117,2.5440778732299805
val,2021,7,comments,1625757471,2.7013444900512695,2.7052721977233887
val,2021,7,comments,1625754274,2.8365683555603027,2.8384156227111816
val,2021,7,comments,1626312367,2.06181001663208,2.0662643909454346
val,2021,7,comments,1626263962,2.606764793395996,2.6145224571228027
val,2021,7,comments,1626695381,2.618870973587036,2.6136555671691895
val,2021,7,comments,1626420217,2.569416046142578,2.577237606048584
val,2021,7,comments,1626510617,2.824646472930908,2.8315553665161133
val,2021,7,comments,1626812277,2.701202154159546,2.7038471698760986
val,2021,7,comments,1627294078,2.488922595977783,2.493581771850586
val,2021,7,comments,1627544428,2.442492961883545,2.4452033042907715
val,2021,7,submissions,1625598216,2.3361358642578125,2.3402626514434814
val,2021,7,submissions,1626184994,2.4447968006134033,2.4517812728881836
val,2021,7,submissions,1626742535,2.3739585876464844,2.37880539894104
val,2021,7,submissions,1625806568,2.877711296081543,2.8729422092437744
val,2021,7,submissions,1625738832,1.8843275308609009,1.8909090757369995
val,2021,7,submissions,1627419757,3.100407123565674,3.0859267711639404
val,2021,7,submissions,1626042761,2.171826124191284,2.177666187286377
val,2021,7,submissions,1625518948,1.9366490840911865,1.9485279321670532
val,2021,7,submissions,1626893911,1.264817714691162,1.2549813985824585
